pattern_name,description,crime_type,hotspot_radius_meters,temporal_signature,modus_operandi_tags
Night Theft Cluster,Theft incidents concentrated in commercial areas 10PM-4AM,Theft,500,Weekdays 22:00-04:00,"lock-picking,vehicle-breaking,commercial-area"
Weekend Assault Pattern,Assaults near transit hubs Fri-Sat evenings,Assault,300,Fri-Sat 20:00-02:00,"public-transit,alcohol-related,group"
Residential Burglary Ring,Burglaries targeting unoccupied homes work hours,Burglary,800,Mon-Fri 09:00-17:00,"forced-entry,rear-entrance,weekday"
Vehicle Theft Corridor,Stolen vehicles traced to highway corridors,Vehicle Theft,2000,All days 00:00-06:00,"hotwiring,export-ring,highway"
Cyber Fraud Network,VoIP fraud calls targeting elderly 10AM-6PM,Fraud,100,All days 10:00-18:00,"voip-spoofing,elderly-target,banking"
Market Chain Snatching,Gold chain snatching in crowded market areas,Robbery,200,Weekends 12:00-20:00,"snatch-and-run,crowded-market,two-wheeler"
Pub Brawl Seasonals,Assaults outside pubs Fri-Sat nights,Assault,150,Fri-Sat 23:00-03:00,"pub-area,weekend,alcohol-fueled"
ATM Robbery Cluster,Targeting solo ATM users late night,Robbery,100,All days 22:00-02:00,"atm-target,solo-victim,weapon-show"
College Drug Distribution,Drug peddling near college campuses during semesters,Drug Offence,300,Mon-Sat 10:00-16:00,"college-area,cannabis,p2p-sale"
Dowry Harassment Pattern,Dowry harassment cases post-wedding first 3 years,Domestic Crime,50,All days all hours,"dowry-harassment,in-laws,marital"
